quadkey,latitude,longitude,rwi,error
12033321321003,42.2691790,41.6931152,-0.364,0.346
12033332130021,41.7303295,43.2751465,0.925,0.427
12033331223120,42.1226726,43.8684082,0.143,0.444
12033333102130,41.8613786,44.4396973,0.577,0.394
12033331132202,42.5935321,44.6594238,0.514,0.372
12033323123022,41.5825791,41.6711426,0.911,0.399
12033330230313,42.2041070,42.7038574,0.274,0.384
12033331222210,42.0900695,43.6486816,0.883,0.383
12033303332230,43.0929602,41.8908691,-0.534,0.313
12033321000112,43.0448049,40.9240723,-0.039,0.426
12122222312101,41.3685636,46.1755371,0.089,0.341
12033333132100,41.6318669,44.7473145,0.088,0.388
12122222010122,41.9758267,45.4504395,0.639,0.394
12033330312313,42.3341839,43.4069824,0.933,0.414
12033330221213,42.2041070,42.4401855,0.757,0.387
12033321132333,42.5611723,42.0007324,-0.736,0.357
12033330200300,42.4801994,42.2863770,0.354,0.382
12033330230102,42.2691790,42.6379395,1.129,0.350
12033323110321,41.9268027,41.9567871,0.476,0.383
12033330220313,42.2041070,42.3522949,1.163,0.400
12033323103133,41.8450121,41.8249512,0.464,0.386
12033332031323,41.6482878,42.8356934,0.016,0.376
12033332023210,41.5661414,42.4182129,0.162,0.388
12033330323313,42.0737617,43.2312012,-0.391,0.333
12033321120012,42.7873380,41.5393066,-0.014,0.379
12033330320312,42.2041070,43.0334473,0.367,0.377
12033330233321,42.0574497,42.8356934,0.671,0.392
12033323112111,41.8940990,42.0007324,0.710,0.386
12122222001311,41.9594896,45.3405762,0.583,0.376
12033331323331,42.0574497,44.6374512,0.426,0.353
12033323123210,41.5661414,41.7150879,-0.257,0.393
12033330323301,42.0900695,43.1872559,0.027,0.519
12033331230000,42.2854365,43.9562988,0.136,0.350
12033330231012,42.2691790,42.7697754,-0.168,0.375
12033332121022,41.7139296,43.0773926,0.116,0.360
12033331333131,42.1226726,44.9890137,0.228,0.336
12033333213333,41.2530319,44.2858887,0.355,0.387
12033333103000,41.8940990,44.4836426,0.228,0.388
12033331332201,42.0900695,44.6813965,1.451,0.392
12033330233302,42.0737617,42.8137207,0.636,0.352
12033331233100,42.1552589,44.2199707,0.028,0.374
12033330223211,42.0900695,42.4401855,0.366,0.379
12033332133130,41.5990125,43.5607910,0.033,0.399
12033332100100,42.0248131,42.9895020,0.065,0.337
12122222010203,41.9431482,45.3845215,0.762,0.381
12033323101130,41.9921597,41.8029785,0.436,0.375
12033332122002,41.6154418,42.9016113,0.654,0.384
12033333310330,41.4015351,44.7912598,0.578,0.395
12033321103303,42.8518056,41.7810059,0.063,0.327
12033330302202,42.3341839,42.9016113,0.082,0.357
12033302330303,43.2371989,40.5505371,0.311,0.448
12033330212233,42.3016898,42.6159668,0.326,0.393
12122222002333,41.7795043,45.1647949,0.659,0.366
12033331232030,42.1226726,44.0002441,0.579,0.385
12033321123211,42.6097057,41.7370605,0.642,0.438
12033321301023,42.4964024,41.6931152,0.033,0.405
12033330230013,42.2691790,42.6159668,0.323,0.379
12033333130230,41.6647045,44.7033691,1.437,0.431
12033321300311,42.4801994,41.6491699,-0.089,0.402
12033333131303,41.6811170,44.9450684,0.685,0.380
12033323111100,42.0248131,42.1105957,-0.559,0.425
12033321120123,42.7550790,41.6052246,-0.469,0.439
12033330300111,42.5449861,43.0554199,1.274,0.380
12122220212110,42.4153456,45.4943848,-0.871,0.300
12033332110020,41.9921597,43.2531738,0.321,0.359
12033330312312,42.3341839,43.3850098,0.528,0.391
12033333213002,41.3520716,44.1320801,0.952,0.369
12033330200302,42.4639923,42.2863770,0.263,0.355
12033321102323,42.8195802,41.6052246,0.012,0.365
12033330221001,42.2854365,42.3962402,0.254,0.388
12122222113201,41.8286415,46.2634277,0.970,0.428
